user_id,transaction_date,username,email,age,subscription,region,city,product_category,price,status,store_id,raw_timestamp
1001,2026-05-30,Neha Mishra,nehamishra@hotmail.com,18,Free,West,Pune,Books,384.19,,S101,2026-05-30 07:05:00
1002,2026-06-10,Nikhil Verma,nikhilverma@gmail.com,53,Premium,East,Patna,Electronics,,Pending,S101,2026-06-10 17:54:00
1003,2026-06-24,Rohan Das,rohandas@hotmail.com,56,Free,North,Chandigarh,Grocery,985.56,Completed,S105,2026-06-24 22:04:00
1004,2026-05-30,Aman Sharma,amansharma@outlook.com,31,Free,North,Lucknow,Clothing,4624.86,Completed,S105,2026-05-30 09:33:00
1005,2026-05-12,Ashutosh Yadav,ashutoshyadav@yahoo.com,25,Premium,West,Mumbai,Books,2148.8,Completed,S101,2026-05-12 17:36:00
1006,2026-04-27,Simran Yadav,simranyadav@yahoo.com,33,Premium,South,Hyderabad,Electronics,436.94,Completed,S103,2026-04-27 20:36:00
1007,2026-04-29,Kavya Panda,kavyapanda@hotmail.com,47,Free,North,Delhi,Clothing,1841.77,Cancelled,S102,2026-04-29 23:15:00
1008,2026-04-21,Aditi Verma,aditiverma@hotmail.com,42,Premium,North,Delhi,Books,4333.52,Pending,S102,2026-04-21 02:11:00
1009,2026-03-14,Rohan Singh,,39,Premium,East,Bhubaneswar,Clothing,120.06,Completed,S104,2026-03-14 21:51:00
1010,2026-04-23,Aditi Patel,aditipatel@hotmail.com,19,Free,West,Mumbai,Electronics,895.29,Pending,S105,2026-04-23 03:23:00
1011,2026-03-06,Pooja Sharma,poojasharma@gmail.com,46,Free,East,Patna,Electronics,4781.79,,S104,2026-03-06 15:30:00
1012,2026-06-27,Ananya Patel,ananyapatel@outlook.com,49,Premium,North,Lucknow,Clothing,,Completed,S105,2026-06-27 09:41:00
1013,2026-05-17,Tanvi Patel,tanvipatel@yahoo.com,56,Free,North,Delhi,Sports,2753.68,Pending,S102,2026-05-17 12:47:00
1014,2026-03-13,Simran Singh,simransingh@outlook.com,54,Premium,West,Mumbai,Books,2413.98,Cancelled,S103,2026-03-13 02:14:00
1015,2026-06-17,Arjun Singh,arjunsingh@hotmail.com,58,Free,West,Pune,Books,1785.63,Pending,S104,2026-06-17 05:27:00
1016,2026-04-13,Simran Kulkarni,simrankulkarni@yahoo.com,26,Free,South,Chennai,Clothing,3742.43,Completed,S102,2026-04-13 18:57:00
1017,2026-03-31,Sanya Sahoo,sanyasahoo@outlook.com,17,Free,South,Hyderabad,Electronics,863.97,Pending,S104,2026-03-31 06:52:00
1018,2026-03-25,Tanvi Singh,tanvisingh@gmail.com,24,Free,East,Patna,Grocery,1370.89,,S105,2026-03-25 16:26:00
1019,2026-02-16,Divya Yadav,divyayadav@outlook.com,25,Free,West,Pune,Clothing,3081.92,,S105,2026-02-16 23:07:00
1020,2026-05-24,Nikhil Sharma,nikhilsharma@yahoo.com,18,Free,South,Bengaluru,Sports,378.43,,S105,2026-05-24 00:48:00
1021,2026-03-12,Riya Yadav,riyayadav@gmail.com,46,Free,East,Patna,Sports,2316.49,Cancelled,S105,2026-03-12 06:53:00
1022,2026-03-03,Sanya Mishra,sanyamishra@hotmail.com,35,Free,West,Ahmedabad,Clothing,2198.86,Cancelled,S102,2026-03-03 08:56:00
1023,2026-06-20,Rohan Reddy,rohanreddy@outlook.com,43,Premium,South,Bengaluru,Grocery,4178.98,,S102,2026-06-20 11:20:00
1024,2026-01-05,Aditya Mohanty,,34,Free,South,Hyderabad,Electronics,1983.29,Pending,S101,2026-01-05 02:16:00
1025,2026-03-08,Priya Sharma,priyasharma@outlook.com,48,Premium,South,Hyderabad,Grocery,2089.14,Completed,S103,2026-03-08 01:51:00
1026,2026-01-23,Abhishek Mishra,abhishekmishra@hotmail.com,30,Free,West,Ahmedabad,Grocery,4027.98,Completed,S104,2026-01-23 00:21:00
