customer_id,name,city,age,membership
101,Neha,Bhubaneswar,32,Silver
102,Nisha,Jaipur,23,Gold
103,Aman,Mysuru,32,Gold
104,Sneha,Ranchi,27,Bronze
105,Rahul,Mumbai,24,Bronze
106,Akash,Visakhapatnam,21,Gold
107,Sanjay,Kanpur,31,Gold
108,Mohit,Surat,24,Silver
109,Tanvi,Lucknow,33,Bronze
110,,Kanpur,27,Silver
111,Simran,Pune,24,Silver
112,Aman,Mumbai,27,Bronze
113,Ritesh,Indore,30,Silver
114,Priya,Guwahati,28,Gold
115,Neha,Nagpur,22,Gold
116,Varun,Bengaluru,30,Silver
117,Yash,Chennai,32,Bronze
118,Priya,Mysuru,24,Silver
119,Sneha,Jaipur,34,Bronze
120,Harsh,Lucknow,28,Gold
121,Ananya,Hyderabad,26,Silver
122,Divya,Mysuru,25,Gold
123,Ankit,Visakhapatnam,31,Bronze
124,Mohit,Guwahati,24,Bronze
125,Manoj,Nagpur,25,Gold
126,Komal,Jaipur,31,Silver
127,Riya,Jaipur,34,Bronze
128,Aditya,Nagpur,25,Bronze
129,Divya,Ranchi,35,Gold
130,Aditya,Chennai,31,Silver
131,Ayush,Bengaluru,28,Bronze
132,Arjun,Pune,24,Gold
133,Komal,Chandigarh,25,Gold
134,Tanvi,Surat,35,Gold
135,Ayush,Indore,24,Bronze
136,Akash,Kochi,22,Bronze
137,Neha,Pune,31,Bronze
138,Rohit,Visakhapatnam,22,Silver
139,Harsh,Visakhapatnam,28,Gold
140,Arjun,Chandigarh,34,Bronze
141,Neha,Mysuru,35,Gold
142,Simran,Nashik,31,Silver
143,Neha,Patna,27,Bronze
144,Manoj,Bhubaneswar,32,Gold
145,Arjun,Noida,33,Bronze
146,Akash,Kolkata,34,Gold
147,Kavya,Bengaluru,29,Gold
148,Sanjay,Pune,26,Bronze
149,Mohit,Nashik,35,Gold
150,Ashutosh,Visakhapatnam,26,Silver
151,Rahul,Kolkata,35,Silver
152,Kavya,Jaipur,21,Bronze
153,Yash,Mumbai,22,Gold
154,Sonia,Mumbai,33,Gold
155,Rohan,Pune,31,Silver
156,Komal,Hyderabad,25,Gold
157,Nitin,Surat,24,Gold
158,Sanjay,Kanpur,25,Silver
159,Ananya,Ahmedabad,35,Gold
160,Ishita,Kolkata,24,Bronze
161,Ankit,Bhopal,21,Gold
162,Komal,Jaipur,30,Bronze
163,Ashutosh,Mumbai,32,Gold
164,Riya,Jaipur,22,Bronze
165,Shreya,Mumbai,29,Bronze
166,Simran,Mysuru,28,Bronze
167,Mohit,Pune,32,Gold
168,Yash,Kochi,24,Silver
169,Sakshi,Chennai,22,Bronze
170,Rohit,Indore,27,Silver
171,Manoj,Guwahati,21,Gold
172,Aman,Delhi,27,Gold
173,Shreya,Kolkata,24,Bronze
174,Sanjay,Chandigarh,28,Bronze
175,Rohit,Hyderabad,25,Silver
176,Nisha,Mumbai,28,Gold
177,Aman,Delhi,31,Gold
178,Ashutosh,Mumbai,35,Bronze
179,Karan,Surat,28,Silver
180,Divya,Nagpur,35,Bronze
181,Karan,Nagpur,21,Silver
182,Arjun,Ahmedabad,25,Silver
183,Komal,Mysuru,32,Silver
184,Pooja,Chennai,25,Bronze
185,Riya,Ranchi,32,Gold
186,Riya,Guwahati,26,Bronze
187,Riya,Ranchi,28,Gold
188,Payal,Hyderabad,21,Gold
189,Sneha,Hyderabad,22,Gold
190,Ankit,Mysuru,34,Bronze
191,Ayush,Kolkata,35,Gold
192,Nisha,Ranchi,30,Bronze
193,Swati,Mumbai,27,Gold
194,Tanvi,Ranchi,29,Silver
195,Arjun,Chennai,31,Gold
196,Aditya,Jaipur,25,Silver
197,Rohan,Mysuru,31,Silver
198,Manoj,Bhopal,35,Bronze
199,Ashutosh,Ahmedabad,30,Gold
200,Aman,Mumbai,29,Bronze
120,Harsh,Lucknow,28,Gold
