customer_id,first_name,last_name,email,region,signup_date
CUST000001,Aditya,Bhat,aditya.bhat1@example.com,North,2026-12-05
CUST000002,Ayaan,Iyer,ayaan.iyer2@example.com,West,2026-08-08
CUST000003,Arjun,Joshi,arjun.joshi3@example.com,Central,2027-08-14
CUST000004,Ayaan,Das,ayaan.das4@example.com,West,2027-02-21
CUST000005,Vihaan,Verma,vihaan.verma5@example.com,West,2026-12-29
CUST000006,Riya,Singh,riya.singh6@example.com,North,2027-11-21
CUST000007,Vihaan,Sharma,vihaan.sharma7@example.com,West,2026-12-14
CUST000008,Ayaan,Reddy,ayaan.reddy8@example.com,South,2027-07-04
CUST000009,Arjun,Patel,arjun.patel9@example.com,South,2026-10-13
CUST000010,Ayaan,Chowdhury,ayaanchowdhurygmail.com,West,2027-07-18
CUST000011,Vivaan,Kapoor,vivaan.kapoor11@example.com,Central,2026-01-16
CUST000012,Ayaan,Gupta,ayaan.gupta12@example.com,West,2027-05-13
CUST000013,Reyansh,Chowdhury,reyansh.chowdhury13@example.com,West,2026-03-02
CUST000014,Priya,Sharma,priya.sharma14@example.com,West,2026-09-29
CUST000015,Diya,Patel,diya.patel15@example.com,Central,2027-11-09
CUST000016,Arjun,Reddy,arjun.reddy16@example.com,East,2026-08-11
CUST000017,Vivaan,Joshi,vivaan.joshi17@example.com,East,2026-02-28
CUST000018,Anika,Rao,anika.rao18@example.com,Central,2026-06-11
CUST000019,Aditya,Chowdhury,aditya.chowdhury19@example.com,South,2026-03-12
CUST000020,Aditya,Kapoor,aditya.kapoor20@example.com,South,2027-02-18
CUST000021,Ayaan,Mehta,ayaan.mehta21@example.com,Central,2026-02-10
CUST000022,Aditya,Patel,aditya.patel22@example.com,Central,2027-08-02
CUST000023,Ishaan,Bhat,ishaan.bhat23@example.com,East,2026-07-29
CUST000024,Ayaan,Iyer,ayaan.iyer24@example.com,West,2026-05-15
CUST000025,Diya,Singh,diya.singh25@example.com,East,2026-03-16
CUST000026,Saanvi,Mehta,saanvi.mehta26@example.com,Central,2026-04-13
CUST000027,Reyansh,Rao,reyansh.rao27@example.com,East,2026-05-16
CUST000028,Aditya,Bhat,aditya.bhat28@example.com,South,2027-01-14
CUST000029,Sai,Singh,sai.singh29@example.com,Central,2026-11-06
CUST000030,Aarav,Kapoor,aarav.kapoor30@example.com,Central,2026-11-03
CUST000031,Arjun,Iyer,arjun.iyer31@example.com,North,2026-04-20
CUST000032,Arjun,Iyer,arjun.iyer32@example.com,East,2027-09-12
CUST000033,Ishaan,Reddy,ishaan.reddy33@example.com,East,2027-06-02
CUST000034,Ananya,Bhat,ananya.bhat34@example.com,North,2026-04-05
CUST000035,Riya,Chowdhury,riya.chowdhury35@example.com,East,2026-02-15
CUST000036,Ishaan,Das,ishaan.das36@example.com,South,2027-10-15
CUST000037,Sai,Joshi,sai.joshi37@example.com,West,2027-07-19
CUST000038,Aarav,Verma,aarav.verma38@example.com,North,2026-06-02
CUST000039,Vivaan,Chowdhury,vivaan.chowdhury39@example.com,East,2027-08-20
CUST000040,Arjun,Patel,arjun.patel40@example.com,South,2026-02-12
CUST000041,Kabir,Bhat,kabir.bhat41@example.com,North,2027-01-02
CUST000042,Ayaan,Kapoor,ayaan.kapoor42@example.com,North,2026-12-29
CUST000043,Riya,Mehta,riya.mehta43@example.com,South,2026-08-31
CUST000044,Sai,Bhat,sai.bhat44@example.com,West,2026-01-26
CUST000045,Ishaan,Das,ishaan.das45@example.com,West,2027-11-17
CUST000046,Ananya,Gupta,ananya.gupta46@example.com,North,2027-01-27
CUST000047,Anika,Reddy,anika.reddy47@example.com,South,2027-04-17
CUST000048,Diya,Chowdhury,diya.chowdhury48@example.com,South,2026-08-17
CUST000049,Reyansh,Patel,reyansh.patel49@example.com,East,2026-10-13
CUST000050,Ananya,Nair,ananya.nair50@example.com,Central,2027-02-14
CUST000051,Ishaan,Sharma,ishaan.sharma51@example.com,North,2026-09-25
CUST000052,Ananya,Sharma,ananya.sharma52@example.com,North,2027-09-03
CUST000053,Kabir,Joshi,kabir.joshi53@example.com,East,2027-03-23
